Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
flowjob01,N/A,20659,734,195.128.103.192,v22019057958990561.quicksrv.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-05-28,NETCUP-AS netcup GmbH- DE,197540,56000,None
flowjob02,N/A,21116,734,91.132.144.125,v22019057958990562.hotsrv.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-05-28,NETCUP-AS netcup GmbH- DE,197540,60200,None
flowjob03,N/A,11793,247,152.89.105.84,v22019087958995934.powersrv.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-08-28,NETCUP-AS netcup GmbH- DE,197540,50000,None
flowjob04,N/A,7963,744,152.89.104.206,v22019097958997025.bestsrv.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-09-11,NETCUP-AS netcup GmbH- DE,197540,32000,None
flowjob05,DE,4057,477,173.249.42.54,173.249.42.54,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-23,CONTABO- DE,51167,16000,None
flowjob07,DE,11092,1146,173.249.12.67,173.249.12.67,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-02-07,CONTABO- DE,51167,32000,None
FluxBit,RU,235,244,178.67.253.45,178.67.253.45,443,None,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-09-06,ROSTELECOM-AS- RU,12389,673,None
fluxclouda,CA,1178,4206,104.37.192.156,156.192.37.104.in-addr.arpa,443,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2015-10-01,DYNAMICHOSTINGBIZ - Dynamic ASP Inc.- CA,36077,3800,None
fluxe3,DE,8851,329,78.47.18.110,tor.sebastianhahn.net,80,443,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2014-04-09,HETZNER-AS- DE,24940,17600,[2a01:4f8:120:4023::110]:80
fluxe4,DE,29247,329,131.188.40.188,angmar.informatik.uni-erlangen.de,11180,1443,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2013-12-20,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.- DE,680,72400,[2001:638:a000:4140::ffff:188]:11180
flymylittlepretties,ES,0,29,91.117.22.153,153.22.117.91.dynamic.reverse-mundo-r.com,20576,None,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2016-02-18,Galicia - Spain- ES,12334,133,None
flynode,DE,3343,1399,136.243.227.2,static.2.227.243.136.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-07-01,HETZNER-AS- DE,24940,4320,None
